ID,LLM,Ratio_VD_S,Ratio_Nom,Ratio_LW_S,av_nominal_deps_NN,cl_av_deps,nn_all_nominal_deps_NN_struct,volume,abundance,mattr_50,evenness_50,disparity,dispersion_per_100,QWE_Score,BERTScore_F1
lyrics00686,Gemini,0.9167,2.0909,0.5833,1.5,2.45,0.0,178,94,0.703566,0.952054,1.027027,10.674157,0.7898,0.8241
lyrics00687,Gemini,0.6667,2.0556,0.6667,1.28571428571,2.6,0.0,123,72,0.757297,0.958792,1.0,7.317073,0.6568,0.8119
lyrics00688,Gemini,0.9,1.0968,0.8,1.17021276596,2.75,0.0,175,103,0.760952,0.961189,1.025641,7.428571,0.731,0.8264
lyrics00689,Gemini,0.2,3.1053,0.5,1.51923076923,2.29411764706,0.0192307692308,174,88,0.688,0.934688,1.028986,6.896552,0.6995,0.8177
lyrics00690,Gemini,0.3636,2.7727,0.5455,1.71428571429,2.36842105263,0.0204081632653,194,102,0.691586,0.941569,1.0,11.340206,0.7266,0.8194
lyrics00691,Gemini,0.9,2.4444,1.0,1.609375,2.70833333333,0.015625,230,115,0.725856,0.95191,1.047059,8.26087,0.8288,0.8229
lyrics00692,Gemini,1.0,2.1071,0.6667,1.75925925926,2.71428571429,0.0185185185185,214,117,0.789212,0.968041,1.06383,7.943925,0.7849,0.8277
lyrics00693,Gemini,0.6667,1.7273,0.5,1.53571428571,2.5,0.0,202,116,0.797647,0.966426,1.044444,7.425743,0.7464,0.8104
lyrics00694,Gemini,0.9231,1.6047,0.6923,1.4347826087,2.32142857143,0.0,230,114,0.765525,0.953364,1.043011,7.391304,0.6931,0.7972
lyrics00695,Gemini,0.5,2.3846,0.5,1.6,2.55555555556,0.0,205,117,0.765,0.955522,1.0,7.804878,0.6231,0.8143
lyrics00696,Gemini,1.0,1.6522,0.5714,1.24675324675,2.52380952381,0.012987012987,282,135,0.764378,0.970988,1.079208,12.056738,0.8139,0.8375
lyrics00697,Gemini,0.6364,2.0541,0.7273,1.42028985507,2.44827586207,0.0,243,131,0.70268,0.942247,1.038462,9.465021,0.6094,0.811
lyrics00698,Gemini,0.7273,2.16,0.6364,1.73684210526,2.5,0.0350877192982,201,118,0.757368,0.949396,1.021739,5.970149,0.7784,0.8432
lyrics00699,Gemini,0.5455,2.2857,0.4545,1.47540983607,2.38095238095,0.0,206,116,0.724076,0.939415,1.092014,7.281553,0.677,0.8122
lyrics00700,Gemini,0.8182,1.4872,0.4545,1.71666666667,2.38095238095,0.0,221,119,0.766395,0.96337,1.12766,9.954751,0.6683,0.8143
lyrics00701,Gemini,0.8182,2.2,0.4545,1.69230769231,2.78947368421,0.0,185,114,0.813676,0.97201,1.0,9.189189,0.6597,0.8148
lyrics00702,Gemini,0.875,1.7778,1.0,1.29090909091,2.36363636364,0.0,168,101,0.781849,0.954117,1.0,5.357143,0.6424,0.7804
lyrics00703,Gemini,0.8182,1.4762,0.8182,1.65671641791,2.27272727273,0.0149253731343,239,136,0.776947,0.966253,1.036697,9.205021,0.7352,0.8055
lyrics00704,Gemini,0.8182,2.3103,0.7273,1.56060606061,2.47826086957,0.030303030303,215,123,0.766747,0.96449,1.019802,10.697674,0.5151,0.7931
lyrics00705,Gemini,1.0,2.3125,0.625,1.55882352941,2.84615384615,0.0294117647059,125,78,0.757105,0.961761,1.0,9.6,0.6919,0.8237
lyrics00706,Gemini,0.8889,1.8627,0.7222,1.42718446602,2.7619047619,0.0,368,180,0.780188,0.963673,1.042553,9.23913,0.6911,0.8143
lyrics00707,Gemini,1.0,2.3333,0.6667,1.6,2.81818181818,0.0285714285714,130,85,0.749877,0.952294,1.031746,6.153846,0.6475,0.805
lyrics00708,Gemini,0.75,2.375,0.75,1.5671641791,2.375,0.0,235,111,0.677742,0.922135,1.1,7.234043,0.7985,0.8273
lyrics00709,Gemini,0.75,1.963,0.75,1.52,2.4375,0.02,176,99,0.779843,0.959801,1.051948,7.386364,0.7795,0.826
lyrics00710,Gemini,0.8889,2.28,0.3333,1.64814814815,2.52380952381,0.037037037037,195,117,0.769863,0.957524,1.021739,8.205128,0.6975,0.837
